,model_step,node_id,lmp,available_capacity,queue_size_normalized_by_capacity,num_projects,congestion_indicator,mw_threshold_1,mw_threshold_2,installed_capacity,new_eris_count,new_nris_count,new_dropped_out,dropped_out_eris_count,dropped_out_nris_count,dropped_out_eris_mw,dropped_out_nris_mw,dropped_out_mw,total_pending_count,pending_eris_count,pending_nris_count,pending_mw,pending_eris_mw,pending_nris_mw,total_online_count,online_eris_count,online_nris_count,online_mw,online_eris_mw,online_nris_mw,avg_cost_eris_dropped_out,avg_cost_nris_dropped_out,avg_cost_eris_pending,avg_cost_nris_pending,avg_cost_eris_online,avg_cost_nris_online,avg_construction_time,avg_study_time
52,3,13,[27.57],824.6,4.213717305786613,0,13.78336986877271,824.6,2473.8,3330.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
53,3,14,[28.71],1819.8000000000002,0.30980166557089633,67,7.725180802103879,1819.8000000000002,5459.400000000001,3650.4,13,54,56,13,43,1201.2,6525.21,7726.41,11,0,11,269.0,0.0,269.0,0,0,0,0.0,0.0,0.0,532.8204990430847,654.5497216367254,0.0,223.29801376135302,0,0,1.773298013761353,1.8059701492537314
54,3,15,[29.93],998.8000000000001,0.16682016075016742,0,1.08841259209645,998.8000000000001,2996.4,2388.8,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
55,3,16,[27.17],7491.3,0.010584307178631052,0,5.2720701168614355,3745.65,5618.475,11995.0,0,0,0,0,0,0.0,0.0,0.0,12,0,12,695.2,0.0,695.2,1,1,0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,,
56,3,17,[32.1],2797.6000000000004,0.7537132141411128,21,4.0701515119227745,2797.6000000000004,8392.800000000001,9385.4,2,19,14,1,13,148.0,2342.0,2490.0,7,1,6,295.5,20.0,275.5,0,0,0,0.0,0.0,0.0,171.04518031353018,213.8064753919127,171.04518031353018,213.80647539191273,0,0,3.7976977189521435,1.9047619047619047
57,3,18,[38.18],1058.0,0.8056215057057516,0,14.21970335196957,1058.0,3174.0,3917.1,0,0,0,0,0,0.0,0.0,0.0,10,4,6,177.15,43.0,134.15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
58,3,19,[26.82],7479.200000000001,0.1549415706690297,0,5.5383252104563585,7479.200000000001,22437.600000000002,14444.8,0,0,0,0,0,0.0,0.0,0.0,2,0,2,90.0,0.0,90.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
59,3,20,[27.83],4286.1,0.2838817991287459,0,7.911513941162915,4286.1,12858.300000000001,9113.3,0,0,0,0,0,0.0,0.0,0.0,18,2,16,795.6,42.0,753.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
60,4,1,[27.54],157.5,3.4060227631994944,0,12.883338602592476,157.5,472.5,1265.2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
61,4,2,[31.18],15083.000000000002,1.790614353404069,69,8.24732506744817,7541.500000000001,11312.250000000002,37200.200000000004,7,62,40,5,35,702.36,6030.9,6733.26,91,9,82,4882.05,425.0,4457.05,7,7,0,245.9,245.9,0.0,152.5702450244191,190.71280628052392,152.5702450244191,190.71280628052392,0,0,2.7380822848145856,1.8985507246376812
